AvailabilityMeasure	Goal	Indicator	IndicatorCode	IndicatorDescription	Tier	4_Afghanistan	8_Albania	12_Algeria	20_Andorra	24_Angola	28_Antigua and Barbuda	31_Azerbaijan	32_Argentina	36_Australia	40_Austria	44_Bahamas	48_Bahrain	50_Bangladesh	51_Armenia	52_Barbados	56_Belgium	64_Bhutan	68_Bolivia (Plurinational State of)	70_Bosnia and Herzegovina	72_Botswana	76_Brazil	84_Belize	90_Solomon Islands	96_Brunei Darussalam	100_Bulgaria	104_Myanmar	108_Burundi	112_Belarus	116_Cambodia	120_Cameroon	124_Canada	132_Cabo Verde	140_Central African Republic	144_Sri Lanka	148_Chad	152_Chile	156_China	170_Colombia	174_Comoros	178_Congo	180_Democratic Republic of the Congo	188_Costa Rica	191_Croatia	192_Cuba	196_Cyprus	203_Czechia	204_Benin	208_Denmark	212_Dominica	214_Dominican Republic	218_Ecuador	222_El Salvador	226_Equatorial Guinea	231_Ethiopia	232_Eritrea	233_Estonia	242_Fiji	246_Finland	250_France	262_Djibouti	266_Gabon	268_Georgia	270_Gambia	276_Germany	288_Ghana	296_Kiribati	300_Greece	308_Grenada	320_Guatemala	324_Guinea	328_Guyana	332_Haiti	340_Honduras	348_Hungary	352_Iceland	356_India	360_Indonesia	364_Iran (Islamic Republic of)	368_Iraq	372_Ireland	376_Israel	380_Italy	384_Côte d'Ivoire	388_Jamaica	392_Japan	398_Kazakhstan	400_Jordan	404_Kenya	408_Democratic People's Republic of Korea	410_Republic of Korea	414_Kuwait	417_Kyrgyzstan	418_Lao People's Democratic Republic	422_Lebanon	426_Lesotho	428_Latvia	430_Liberia	434_Libya	438_Liechtenstein	440_Lithuania	442_Luxembourg	450_Madagascar	454_Malawi	458_Malaysia	462_Maldives	466_Mali	470_Malta	478_Mauritania	480_Mauritius	484_Mexico	492_Monaco	496_Mongolia	498_Republic of Moldova	499_Montenegro	504_Morocco	508_Mozambique	512_Oman	516_Namibia	520_Nauru	524_Nepal	528_Netherlands	548_Vanuatu	554_New Zealand	558_Nicaragua	562_Niger	566_Nigeria	578_Norway	583_Micronesia (Federated States of)	584_Marshall Islands	585_Palau	586_Pakistan	591_Panama	598_Papua New Guinea	600_Paraguay	604_Peru	608_Philippines	616_Poland	620_Portugal	624_Guinea-Bissau	626_Timor-Leste	634_Qatar	642_Romania	643_Russian Federation	646_Rwanda	659_Saint Kitts and Nevis	662_Saint Lucia	670_Saint Vincent and the Grenadines	674_San Marino	678_Sao Tome and Principe	682_Saudi Arabia	686_Senegal	688_Serbia	690_Seychelles	694_Sierra Leone	702_Singapore	703_Slovakia	704_Viet Nam	705_Slovenia	706_Somalia	710_South Africa	716_Zimbabwe	724_Spain	728_South Sudan	729_Sudan	740_Suriname	748_Eswatini	752_Sweden	756_Switzerland	760_Syrian Arab Republic	762_Tajikistan	764_Thailand	768_Togo	776_Tonga	780_Trinidad and Tobago	784_United Arab Emirates	788_Tunisia	792_Turkey	795_Turkmenistan	798_Tuvalu	800_Uganda	804_Ukraine	807_North Macedonia	818_Egypt	826_United Kingdom of Great Britain and Northern Ireland	834_United Republic of Tanzania	840_United States of America	854_Burkina Faso	858_Uruguay	860_Uzbekistan	862_Venezuela (Bolivarian Republic of)	882_Samoa	887_Yemen	894_Zambia
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	1	1.1.1	C010101	"1.1.1 Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)"	Tier I	9	31	1	0	11	0	59	151	4	13	0	0	31	124	0	13	22	96	41	20	41	0	11	0	9	10	20	161	18	12	5	11	20	32	20	70	63	123	20	11	20	143	7	9	12	12	12	13	0	152	141	134	9	21	9	13	30	13	13	3	2	143	12	9	11	1	13	0	21	21	0	19	142	12	12	12	153	50	20	13	5	13	21	20	1	132	31	2	9	40	0	161	21	10	11	12	11	0	0	12	13	31	11	24	20	21	10	40	20	64	0	52	161	100	21	12	0	12	0	2	12	1	0	22	31	11	13	2	0	0	62	161	10	124	143	45	0	13	20	3	0	10	160	40	0	0	0	0	2	0	21	81	1	11	0	12	26	12	9	23	10	13	1	10	0	20	13	10	10	59	94	12	2	0	0	30	123	0	1	32	141	123	23	12	21	6	21	101	30	60	1	11	50
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	1	1.2.1	C010201	"1.2.1 Proportion of population living below the national poverty line, by sex and age"	"Tier I
"	2	4	1	0	1	0	7	1	0	0	0	0	4	14	0	0	2	15	3	2	14	0	2	0	15	3	2	17	7	3	0	3	1	5	2	7	8	13	2	2	2	8	7	0	0	10	5	0	0	17	17	12	1	2	0	1	3	0	0	1	1	15	1	0	2	1	0	0	4	3	0	1	16	11	0	3	18	0	2	0	0	0	3	12	0	15	2	2	0	0	0	11	3	1	2	11	2	0	0	11	0	4	2	6	2	3	0	4	1	5	0	4	15	9	2	3	0	2	0	1	0	1	0	5	2	2	0	2	0	1	7	6	1	15	13	5	15	0	2	3	0	10	16	4	0	0	0	0	2	0	3	4	2	2	0	10	4	11	0	4	1	0	1	1	0	2	0	0	2	3	12	3	2	0	0	4	14	0	1	4	15	6	5	0	1	0	3	11	2	16	1	2	2
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	1	1.3.1	C010301	"1.3.1 Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable"	Tier II	2	2	1	0	0	1	1	6	0	1	0	0	3	8	0	1	2	7	1	1	6	1	1	0	2	1	0	5	0	3	1	1	0	3	1	5	2	4	0	1	1	6	3	0	1	1	0	1	1	8	5	7	0	2	0	1	1	1	1	2	1	2	1	1	3	1	1	0	4	1	0	2	5	2	1	4	5	0	2	1	0	1	3	2	0	3	2	1	0	0	0	5	0	1	1	3	2	0	1	2	1	0	3	1	2	0	1	2	2	3	0	6	3	4	1	2	0	2	0	1	1	0	0	3	2	4	1	1	0	1	3	7	1	6	7	3	9	1	0	2	0	4	5	3	0	0	0	0	0	0	1	3	0	1	0	2	5	1	0	2	2	1	1	1	0	2	1	1	0	2	4	0	0	0	0	1	11	0	0	3	5	0	2	1	5	0	3	6	0	1	0	1	1
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	1	1.3.1	C010301	"1.3.1 Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable"	"Tier II
"	5	13	2	1	1	4	10	32	9	7	2	2	14	43	2	7	7	27	7	6	33	7	4	1	16	5	2	27	8	15	9	10	0	14	3	29	10	22	4	5	10	35	15	0	8	6	4	7	4	28	28	37	0	6	0	7	4	7	7	8	4	10	8	9	15	1	2	1	13	3	1	5	24	12	5	14	21	1	10	7	4	3	12	10	5	16	8	8	0	5	0	22	3	3	6	17	6	0	3	11	3	3	14	5	7	8	3	4	12	13	0	33	18	22	4	8	2	5	1	4	7	1	6	14	11	12	7	3	1	4	10	34	4	21	25	13	48	7	0	9	4	22	30	15	1	0	1	0	1	0	7	13	1	1	0	12	28	10	0	14	7	8	1	2	0	3	7	7	2	8	16	4	3	2	0	4	59	0	0	13	22	2	4	7	18	6	12	33	1	8	3	6	11
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	1	"1.5.1, 11.5.1, 13.1.1"	C200303	"1.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"	"Tier II
"	0	609	0	0	350	168	15	426	0	15	0	0	0	15	342	0	198	531	0	96	0	105	186	0	15	540	0	0	198	0	0	99	0	777	0	689	0	888	189	0	0	579	30	0	195	0	0	15	189	0	966	684	126	324	0	0	210	0	0	258	0	0	30	15	0	30	0	149	537	30	257	0	501	0	0	0	0	333	0	15	0	0	0	162	0	324	282	384	0	30	15	270	357	294	0	0	45	0	0	0	0	279	15	30	180	258	0	0	309	981	0	378	0	0	177	447	0	0	0	621	0	189	15	462	315	0	15	75	81	75	648	501	243	630	771	0	0	15	24	303	0	0	0	36	189	204	213	0	0	0	429	363	282	225	0	15	141	30	15	15	0	123	0	0	0	57	15	15	258	0	0	312	153	231	0	381	525	0	45	507	195	0	30	0	171	0	393	465	15	588	144	258	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	1	"1.5.2, 11.5.2"	C010502	1.5.2 Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)	"Tier II
"	0	382	0	0	218	96	8	274	0	8	0	0	0	8	210	0	114	336	0	54	0	58	106	0	8	334	0	0	106	0	0	54	0	492	0	438	0	566	108	0	0	360	16	0	104	0	0	8	112	0	618	434	70	198	0	0	120	0	0	156	0	0	18	8	0	16	0	84	338	16	154	0	316	0	0	0	0	208	0	8	0	0	0	90	0	190	168	230	0	16	8	156	222	176	0	0	24	0	0	0	0	164	8	16	110	152	0	0	186	634	0	232	0	0	98	280	0	0	0	396	0	106	8	290	190	0	8	40	44	40	412	308	140	394	496	0	0	8	14	178	0	0	0	22	108	118	122	0	0	0	264	216	168	134	0	8	82	16	8	8	0	70	0	0	0	32	8	8	162	0	0	188	86	134	0	236	328	0	24	312	104	0	16	0	94	0	238	290	8	369	78	160	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	1	"1.5.3, 11.b.1, 13.1.2"	C200304	1.5.3 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030	"Tier I
"	2	0	1	0	0	0	0	1	2	1	0	1	2	2	1	0	3	1	0	0	1	0	0	0	2	0	1	2	0	1	1	1	0	2	0	1	1	1	0	0	1	1	3	1	0	2	1	1	0	2	2	0	0	2	0	0	2	2	2	1	1	2	1	2	2	0	2	0	3	1	0	0	1	2	0	2	2	1	1	1	0	2	1	1	2	1	1	2	0	2	0	1	0	1	1	0	0	0	0	0	0	1	2	2	0	1	0	0	1	3	0	1	0	0	1	3	0	0	1	1	2	1	3	0	2	1	3	0	0	0	2	1	1	1	2	1	2	2	0	0	1	2	0	2	2	0	0	0	0	0	1	0	1	0	0	2	1	2	1	1	1	1	0	0	0	1	3	2	0	0	1	1	1	1	1	2	2	0	0	0	1	0	0	2	2	1	1	1	0	0	1	1	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	1	"1.5.4, 11.b.2, 13.1.3"	C200305	1.5.4 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	"Tier II
"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	1	1.a.2	C010a02	"1.a.2 Proportion of total government spending on essential services (education, health and social protection)"	"Tier II
"	6	10	1	4	4	2	16	16	11	15	1	8	13	12	14	13	11	12	0	3	14	10	4	6	13	1	11	12	11	13	9	12	11	8	9	14	0	17	7	5	3	16	9	0	14	15	15	15	1	5	8	15	0	11	4	14	11	15	15	9	6	13	14	9	12	2	6	2	10	13	12	0	1	14	14	10	14	17	0	15	15	14	16	16	14	9	1	13	0	0	5	16	14	12	8	14	2	0	0	14	3	13	7	16	15	14	10	8	17	15	9	12	15	0	2	5	10	7	0	16	15	8	15	4	14	0	15	2	2	3	14	7	0	9	17	10	15	15	4	7	13	12	9	9	9	14	8	2	12	8	15	8	4	15	14	16	6	14	0	15	4	15	5	7	0	12	15	15	8	14	14	17	5	4	0	13	9	1	0	7	14	1	6	15	8	5	9	8	0	3	5	3	5
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	2	2.1.1	C020101	2.1.1 Prevalence of undernourishment	"Tier I
"	16	16	16	0	16	16	16	16	16	16	16	0	16	16	16	16	0	16	16	16	16	16	16	16	16	16	0	16	16	16	16	16	16	16	16	16	16	16	0	16	0	16	16	16	16	16	16	16	16	16	16	16	0	16	0	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	0	0	16	16	16	16	16	16	16	16	16	16	16	0	16	16	10	16	16	16	16	0	16	16	16	16	16	16	16	16	0	0	0	16	16	0	16	16	16	16	16	16	16	0	16	16	16	0	16	16	0	16	16	16	10	0	16	0	16	16	16	0	16	16	16	0	4	16	16	16	16	0	16	16	16	0	16	16	16	16	16	0	16	16	16	16	16	16	16	16	16	16	16	16	16	16
