countryCode	countryName	Country	ISO	isRC	TierX	indicatorsAvailable	N	percent	N2	percent2
		Kosovo		TRUE		0	1	0		
4	Afghanistan	Afghanistan	AFG	TRUE	Tier I*	87	105	82.8571428571429	107	81.3084112149533
4	Afghanistan	Afghanistan	AFG	TRUE	Tier II	16	49	32.6530612244898	84	19.047619047619
4	Afghanistan	Afghanistan	AFG	TRUE	Tier III	0	1	0	41	0
8	Albania	Albania	ALB	TRUE	Tier I*	91	105	86.6666666666667	107	85.0467289719626
8	Albania	Albania	ALB	TRUE	Tier II	28	49	57.1428571428571	84	33.3333333333333
8	Albania	Albania	ALB	TRUE	Tier III	0	1	0	41	0
12	Algeria	Algeria	DZA	TRUE	Tier I*	94	105	89.5238095238095	107	87.8504672897196
12	Algeria	Algeria	DZA	TRUE	Tier II	14	49	28.5714285714286	84	16.6666666666667
12	Algeria	Algeria	DZA	TRUE	Tier III	1	1	100	41	2.4390243902439
20	Andorra			FALSE	Tier I*	42	105	40	107	39.2523364485981
20	Andorra			FALSE	Tier II	8	49	16.3265306122449	84	9.52380952380952
20	Andorra			FALSE	Tier III	0	1	0	41	0
24	Angola	Angola	AGO	TRUE	Tier I*	90	105	85.7142857142857	107	84.1121495327103
24	Angola	Angola	AGO	TRUE	Tier II	22	49	44.8979591836735	84	26.1904761904762
24	Angola	Angola	AGO	TRUE	Tier III	0	1	0	41	0
28	Antigua and Barbuda			FALSE	Tier I*	67	105	63.8095238095238	107	62.6168224299065
28	Antigua and Barbuda			FALSE	Tier II	17	49	34.6938775510204	84	20.2380952380952
28	Antigua and Barbuda			FALSE	Tier III	0	1	0	41	0
31	Azerbaijan	Azerbaijan	AZE	TRUE	Tier I*	90	105	85.7142857142857	107	84.1121495327103
31	Azerbaijan	Azerbaijan	AZE	TRUE	Tier II	29	49	59.1836734693878	84	34.5238095238095
31	Azerbaijan	Azerbaijan	AZE	TRUE	Tier III	0	1	0	41	0
32	Argentina	Argentina	ARG	TRUE	Tier I*	95	105	90.4761904761905	107	88.785046728972
32	Argentina	Argentina	ARG	TRUE	Tier II	26	49	53.0612244897959	84	30.952380952381
32	Argentina	Argentina	ARG	TRUE	Tier III	1	1	100	41	2.4390243902439
36	Australia			FALSE	Tier I*	85	105	80.9523809523809	107	79.4392523364486
36	Australia			FALSE	Tier II	20	49	40.8163265306122	84	23.8095238095238
36	Australia			FALSE	Tier III	0	1	0	41	0
40	Austria			FALSE	Tier I*	78	105	74.2857142857143	107	72.8971962616822
40	Austria			FALSE	Tier II	29	49	59.1836734693878	84	34.5238095238095
40	Austria			FALSE	Tier III	0	1	0	41	0
44	Bahamas			FALSE	Tier I*	63	105	60	107	58.8785046728972
44	Bahamas			FALSE	Tier II	8	49	16.3265306122449	84	9.52380952380952
44	Bahamas			FALSE	Tier III	0	1	0	41	0
48	Bahrain	Bahrain	BHR	TRUE	Tier I*	75	105	71.4285714285714	107	70.0934579439252
48	Bahrain	Bahrain	BHR	TRUE	Tier II	11	49	22.4489795918367	84	13.0952380952381
48	Bahrain	Bahrain	BHR	TRUE	Tier III	0	1	0	41	0
50	Bangladesh	Bangladesh	BGD	TRUE	Tier I*	94	105	89.5238095238095	107	87.8504672897196
50	Bangladesh	Bangladesh	BGD	TRUE	Tier II	21	49	42.8571428571429	84	25
50	Bangladesh	Bangladesh	BGD	TRUE	Tier III	1	1	100	41	2.4390243902439
51	Armenia	Armenia	ARM	TRUE	Tier I*	92	105	87.6190476190476	107	85.981308411215
51	Armenia	Armenia	ARM	TRUE	Tier II	35	49	71.4285714285714	84	41.6666666666667
51	Armenia	Armenia	ARM	TRUE	Tier III	0	1	0	41	0
52	Barbados	Barbados	BRB	TRUE	Tier I*	81	105	77.1428571428572	107	75.7009345794392
52	Barbados	Barbados	BRB	TRUE	Tier II	16	49	32.6530612244898	84	19.047619047619
