Goal	Indicator	IndicatorCode	IndicatorDescription	TierX	countriesAvailable	N	percent	Has75percentPlus
					0	1	0	0
1	1.1.1	C010101	1.1.1 Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)	Tier I*	164	195	84.1025641025641	1
1	1.2.1	C010201	1.2.1 Proportion of population living below the national poverty line, by sex and age	Tier I*	134	195	68.7179487179487	0
1	1.3.1	C010301	1.3.1 Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable	Tier II	176	195	90.2564102564103	1
1	1.5.1, 11.5.1, 13.1.1	C200303	1.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	Tier II	114	195	58.4615384615385	0
1	1.5.2, 11.5.2	C010502	1.5.2 Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)	Tier II	114	195	58.4615384615385	0
1	1.5.3, 11.b.1, 13.1.2	C200304	1.5.3 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015<U+0096>2030	Tier I*	119	195	61.025641025641	0
1	1.5.4, 11.b.2, 13.1.3	C200305	1.5.4 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	Tier II	15	195	7.69230769230769	0
1	1.a.2	C010a02	1.a.2 Proportion of total government spending on essential services (education, health and social protection)	Tier II	174	195	89.2307692307692	1
2	2.1.1	C020101	2.1.1 Prevalence of undernourishment	Tier I*	167	195	85.6410256410256	1
2	2.1.2	C020102	2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)	Tier II	57	195	29.2307692307692	0
2	2.2.1	C020201	2.2.1 Prevalence of stunting (height for age &lt;-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5<U+00A0>years of age	Tier I*	144	195	73.8461538461539	0
2	2.2.2	C020202	2.2.2 Prevalence of malnutrition (weight for height &gt;+2 or &lt;-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5<U+00A0>years of age, by type (wasting and overweight)	Tier I*	145	195	74.3589743589744	0
2	2.5.1	C020501	2.5.1 Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities	Tier I*	180	195	92.3076923076923	1
2	2.5.2	C020502	2.5.2 Proportion of local breeds classified as being at risk, not at risk or at unknown level of risk of extinction	Tier I*	172	195	88.2051282051282	1
2	2.a.1	C020a01	2.a.1 The agriculture orientation index for government expenditures	Tier I*	138	195	70.7692307692308	0
2	2.a.2	C020a02	2.a.2 Total official flows (official development assistance plus other official flows) to the agriculture sector	Tier I*	147	195	75.3846153846154	1
2	2.b.1	C020b02	2.b.1 Agricultural export subsidies	Tier I*	0	195	0	0
2	2.c.1	C020c01	2.c.1 Indicator of food price anomalies	Tier II	79	195	40.5128205128205	0
3	3.1.1	C030101	3.1.1 Maternal mortality ratio	Tier I*	182	195	93.3333333333333	1
3	3.1.2	C030102	3.1.2 Proportion of births attended by skilled health personnel	Tier I*	182	195	93.3333333333333	1
3	3.2.1	C030201	3.2.1 Under-5 mortality rate	Tier I*	193	195	98.974358974359	1
3	3.2.2	C030202	3.2.2 Neonatal mortality rate	Tier I*	193	195	98.974358974359	1
3	3.3.1	C030301	3.3.1 Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations	Tier I*	131	195	67.1794871794872	0
3	3.3.2	C030302	3.3.2 Tuberculosis incidence per 100,000 population	Tier I*	193	195	98.974358974359	1
3	3.3.3	C030303	3.3.3 Malaria incidence per 1,000 population	Tier I*	99	195	50.7692307692308	0
3	3.3.4	C030304	3.3.4 Hepatitis B incidence per 100,000 population	Tier I*	192	195	98.4615384615385	1
3	3.3.5	C030305	3.3.5 Number of people requiring interventions against neglected tropical diseases	Tier I*	192	195	98.4615384615385	1
3	3.4.1	C030401	3.4.1 Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease	Tier I*	183	195	93.8461538461538	1
3	3.4.2	C030402	3.4.2 Suicide mortality rate	Tier I*	183	195	93.8461538461538	1
3	3.5.2	C030502	3.5.2 Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15<U+00A0>years and older) within a calendar year in litres of pure alcohol	Tier I*	187	195	95.8974358974359	1
3	3.6.1	C030601	3.6.1 Death rate due to road traffic injuries	Tier I*	193	195	98.974358974359	1
3	3.7.1	C030701	3.7.1 Proportion of women of reproductive age (aged 15<U+0096>49<U+00A0>years) who have their need for family planning satisfied with modern methods	Tier I*	131	195	67.1794871794872	0
3	3.7.2	C030702	3.7.2 Adolescent birth rate (aged 10<U+0096>14 years; aged 15<U+0096>19<U+00A0>years) per 1,000 women in that age group	Tier I*	193	195	98.974358974359	1
3	3.8.1	C030801	3.8.1 Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)	Tier I*	183	195	93.8461538461538	1
3	3.8.2	C030802	3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income	Tier I*	118	195	60.5128205128205	0
3	3.9.1	C030901	3.9.1 Mortality rate attributed to household and ambient air pollution	Tier I*	192	195	98.4615384615385	1
3	3.9.2	C030902	3.9.2 Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)	Tier I*	183	195	93.8461538461538	1
3	3.9.3	C030903	3.9.3 Mortality rate attributed to unintentional poisoning	Tier I*	183	195	93.8461538461538	1
3	3.a.1	C030a01	3.a.1 Age-standardized prevalence of current tobacco use among persons aged 15<U+00A0>years and older	Tier I*	146	195	74.8717948717949	0
3	3.b.1	C030b01	3.b.1 Proportion of the target population covered by all vaccines included in their national programme	Tier I*	193	195	98.974358974359	1
3	3.b.2	C030b02	3.b.2 Total net official development assistance to medical research and basic health sectors	Tier I*	146	195	74.8717948717949	0
3	3.c.1	C030c01	3.c.1 Health worker density and distribution	Tier I*	189	195	96.9230769230769	1
3	3.d.1	C030d01	3.d.1 International Health Regulations (IHR) capacity and health emergency preparedness	Tier I*	192	195	98.4615384615385	1
4	4.1.1	C040101	4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex	Tier II	129	195	66.1538461538461	0
4	4.2.1	C040201	4.2.1 Proportion of children under 5<U+00A0>years of age who are developmentally on track in health, learning and psychosocial well-being, by sex	Tier III	66	195	33.8461538461538	0
4	4.2.2	C040202	4.2.2 Participation rate in organized learning (one year before the official primary entry age), by sex	Tier I*	154	195	78.974358974359	1
4	4.3.1	C040301	4.3.1 Participation rate of youth and adults in formal and non-formal education and training in the previous 12<U+00A0>months, by sex	Tier II	43	195	22.0512820512821	0
4	4.4.1	C040401	4.4.1 Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	Tier II	61	195	31.2820512820513	0
4	4.5.1	C040501	4.5.1 Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated	Tier I*	187	195	95.8974358974359	1
4	4.6.1	C040601	4.6.1 Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex	Tier II	38	195	19.4871794871795	0
4	4.a.1	C040a01	4.a.1 Proportion of schools with access to (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g)<U+00A0>basic handwashing facilities (as per the WASH indicator definitions)	Tier II	111	195	56.9230769230769	0
4	4.b.1	C040b01	4.b.1 Volume of official development assistance flows for scholarships by sector and type of study	Tier I*	145	195	74.3589743589744	0
4	4.c.1	C040c01	4.c.1 Proportion of teachers in: (a) pre-primary; (b)<U+00A0>primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country	Tier II	131	195	67.1794871794872	0
5	5.2.1	C050201	5.2.1 Proportion of ever-partnered women and girls aged 15<U+00A0>years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	Tier II	88	195	45.1282051282051	0
5	5.3.1	C050301	5.3.1 Proportion of women aged 20<U+0096>24<U+00A0>years who were married or in a union before age 15 and before age 18	Tier II	125	195	64.1025641025641	0
5	5.3.2	C050302	5.3.2 Proportion of girls and women aged 15<U+0096>49<U+00A0>years who have undergone female genital mutilation/cutting, by<U+00A0>age	Tier II	29	195	14.8717948717949	0
5	5.4.1	C050401	5.4.1 Proportion of time spent on unpaid domestic and care work, by sex, age and location	Tier II	88	195	45.1282051282051	0
5	5.5.1	C050501	5.5.1 Proportion of seats held by women in (a) national parliaments and (b) local governments	Tier I*	193	195	98.974358974359	1
5	5.5.2	C050502	5.5.2 Proportion of women in managerial positions	Tier I*	150	195	76.9230769230769	1
5	5.6.1	C050601	5.6.1 Proportion of women aged 15<U+0096>49<U+00A0>years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Tier II	47	195	24.1025641025641	0
5	5.b.1	C050b01	5.b.1 Proportion of individuals who own a mobile telephone, by sex	Tier II	44	195	22.5641025641026	0
6	6.1.1	C060101	6.1.1 Proportion of population using safely managed drinking water services	Tier II	100	195	51.2820512820513	0
6	6.2.1	C060201	6.2.1 Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water	Tier II	191	195	97.9487179487179	1
6	6.3.2	C060302	6.3.2 Proportion of bodies of water with good ambient water quality	Tier II	38	195	19.4871794871795	0
6	6.4.2	C060402	6.4.2 Level of water stress: freshwater withdrawal as a proportion of available freshwater resources	Tier I*	181	195	92.8205128205128	1
6	6.5.1	C060501	6.5.1 Degree of integrated water resources management implementation (0<U+0096>100)	Tier I*	193	195	98.974358974359	1
6	6.5.2	C060502	6.5.2 Proportion of transboundary basin area with an operational arrangement for water cooperation	Tier I*	194	195	99.4871794871795	1
6	6.6.1	C060601	6.6.1 Change in the extent of water-related ecosystems over time	Tier I*	193	195	98.974358974359	1
6	6.a.1	C060a01	6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan	Tier I*	147	195	75.3846153846154	1
6	6.b.1	C060b01	6.b.1 Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management	Tier I*	113	195	57.948717948718	0
7	7.1.1	C070101	7.1.1 Proportion of population with access to electricity	Tier I*	194	195	99.4871794871795	1
7	7.1.2	C070102	7.1.2 Proportion of population with primary reliance on clean fuels and technology	Tier I*	189	195	96.9230769230769	1
7	7.2.1	C070201	7.2.1 Renewable energy share in the total final energy consumption	Tier I*	193	195	98.974358974359	1
7	7.3.1	C070301	7.3.1 Energy intensity measured in terms of primary energy and GDP	Tier I*	183	195	93.8461538461538	1
8	12.2.2, 8.4.2	C200203	8.4.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP	Tier I*	185	195	94.8717948717949	1
8	8.1.1	C080101	8.1.1 Annual growth rate of real GDP per capita	Tier I*	195	195	100	1
8	8.10.1	C081001	8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults	Tier I*	183	195	93.8461538461538	1
8	8.10.2	C081002	8.10.2 Proportion of adults (15<U+00A0>years and older) with an account at a bank or other financial institution or with a mobile-money-service provider	Tier I*	155	195	79.4871794871795	1
8	8.2.1	C080201	8.2.1 Annual growth rate of real GDP per employed person	Tier I*	179	195	91.7948717948718	1
8	8.3.1	C080301	8.3.1 Proportion of informal employment in non-agriculture employment, by sex	Tier II	46	195	23.5897435897436	0
8	8.5.1	C080501	8.5.1 Average hourly earnings of female and male employees, by occupation, age and persons with disabilities	Tier II	63	195	32.3076923076923	0
8	8.5.2	C080502	8.5.2 Unemployment rate, by sex, age and persons with disabilities	Tier I*	178	195	91.2820512820513	1
8	8.6.1	C080601	8.6.1 Proportion of youth (aged 15<U+0096>24<U+00A0>years) not in education, employment or training	Tier I*	128	195	65.6410256410256	0
8	8.7.1	C080701	8.7.1 Proportion and number of children aged 5<U+0096>17<U+00A0>years engaged in child labour, by sex and age	Tier II	81	195	41.5384615384615	0
