"GeoAreaCode","GeoAreaName","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
8,"Albania","...","...","2","...","...","1.1","...","...","0.4","...","...","...","1.1","...","...","...","...","..."
12,"Algeria","...","...","...","...","...","...","...","...","...","...","...","0.5","...","...","...","...","...","..."
24,"Angola","32.3","...","...","...","...","...","...","...","30.1","...","...","...","...","...","...","...","...","..."
31,"Azerbaijan","...","2.7","0","0","0","0","...","...","...","...","...","...","...","...","...","...","...","..."
32,"Argentina","5.7","9.4","14","7","5.4","3.9","3.3","2.9","2.6","2.6","1.1","0.9","0.8","0.8","0.7","...","0.6","..."
36,"Australia","...","0.7","...","1","...","...","...","...","0.5","...","0.5","...","...","...","...","...","...","..."
40,"Austria","...","...","...","0.2","0","0.2","0","0.5","0.5","0.5","0.5","0.5","0.5","0.2","0.2","0.7","...","..."
50,"Bangladesh","34.8","...","...","...","...","25.7","...","...","...","...","19.6","...","...","...","...","...","14.8","..."
51,"Armenia","...","19.3","15.1","11.4","7.9","4.4","3.2","2.8","1.4","1.9","1.9","2.2","1.6","2.2","2.3","1.9","1.8","..."
56,"Belgium","...","...","...","0.2","0","0.2","0.2","0.2","0","0","0.2","0.2","0.2","0.2","0","0","...","..."
64,"Bhutan","...","...","...","17.6","...","...","...","8","...","...","...","...","2.2","...","...","...","...","1.5"
68,"Bolivia (Plurinational State of)","28.6","22.8","24.7","...","13.7","19.3","16.4","12.4","11.1","10.5","...","7.3","8.2","6.9","5.8","6.4","7.1","..."
70,"Bosnia and Herzegovina","...","0.3","...","...","0.2","...","...","0.1","...","...","...","0.1","...","...","...","0.2","...","..."
72,"Botswana","...","...","29.8","...","...","...","...","...","...","18.2","...","...","...","...","...","...","...","..."
76,"Brazil","...","11.6","10.3","11.1","9.7","8.6","7.2","6.8","5.6","5.4","...","4.7","3.8","3.8","2.8","3.4","...","..."
90,"Solomon Islands","...","...","...","...","...","45.6","...","...","...","...","...","...","...","25.1","...","...","...","..."
100,"Bulgaria","...","...","...","...","...","...","5.5","1.7","1.2","1.2","2","2.2","2","1.7","1.5","...","...","..."
104,"Myanmar","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6.4","...","..."
